metabolites,numerator,denominator,p-value,q-value,FC
N1-methyladenosine,GL405,CK10,0.1684,1.0000,0.34
N6-methyladenosine,GL405,CK10,0.1126,1.0000,0.25
isopentenyl adenosine,GL405,CK10,0.0052,0.4459,0.08
N6-carbamoylthreonyladenosine,GL405,CK10,0.0328,0.9325,0.63
2'-deoxyadenosine 5'-monophosphate,GL405,CK10,0.7992,1.0000,0.81
N6-succinyladenosine,GL405,CK10,0.2003,1.0000,0.53
guanosine 5'-diphosphate (GDP),GL405,CK10,0.9370,1.0000,0.58
guanosine 5'-monophosphate (5'-GMP),GL405,CK10,0.7711,1.0000,0.49
guanosine 3'-monophosphate (3'-GMP),GL405,CK10,0.8544,1.0000,0.52
"guanosine-2',3'-cyclic monophosphate",GL405,CK10,0.7249,1.0000,1.07
guanosine,GL405,CK10,0.2204,1.0000,0.60
guanine,GL405,CK10,0.0798,1.0000,0.40
1-methylguanine,GL405,CK10,0.9257,1.0000,1.08
7-methylguanine,GL405,CK10,0.4216,1.0000,0.54
7-methylguanosine,GL405,CK10,0.1468,1.0000,0.50
N1-methylguanosine,GL405,CK10,0.1113,1.0000,0.46
N2-methylguanosine,GL405,CK10,0.2393,1.0000,0.54
"N2,N2-dimethylguanosine",GL405,CK10,0.4094,1.0000,0.41
"N2,N2-dimethylguanine",GL405,CK10,0.2224,1.0000,0.61
8-hydroxyguanine,GL405,CK10,0.4821,1.0000,0.18
2'-deoxyguanosine 5'-monophosphate (dGMP),GL405,CK10,0.9034,1.0000,1.00
2'-deoxyguanosine,GL405,CK10,0.4041,1.0000,0.60
N-carbamoylaspartate,GL405,CK10,0.7024,1.0000,0.56
dihydroorotate,GL405,CK10,0.8880,1.0000,0.46
orotate,GL405,CK10,0.2745,1.0000,0.60
orotidine,GL405,CK10,0.7081,1.0000,0.81
uridine 5'-diphosphate (UDP),GL405,CK10,0.3721,1.0000,0.72
uridine 5'-monophosphate (UMP),GL405,CK10,0.7823,1.0000,0.60
uridine 3'-monophosphate (3'-UMP),GL405,CK10,0.1017,1.0000,0.24
"uridine-2',3'-cyclic monophosphate",GL405,CK10,0.6702,1.0000,0.51
uridine,GL405,CK10,0.1192,1.0000,0.57
uracil,GL405,CK10,0.2494,1.0000,0.53
pseudouridine,GL405,CK10,0.1771,1.0000,0.46
"5,6-dihydrouridine",GL405,CK10,0.4723,1.0000,0.59
2'-O-methyluridine,GL405,CK10,0.3253,1.0000,0.66
5-methyluridine (ribothymidine),GL405,CK10,0.1483,1.0000,0.40
"5,6-dihydrouracil",GL405,CK10,0.6435,1.0000,0.78
2'-deoxyuridine 5'-monophosphate,GL405,CK10,0.4311,1.0000,0.32
2'-deoxyuridine,GL405,CK10,0.2061,1.0000,0.26
3-ureidopropionate,GL405,CK10,0.3688,1.0000,0.98
beta-alanine,GL405,CK10,0.1784,1.0000,0.59
3-(3-amino-3-carboxypropyl)uridine*,GL405,CK10,0.8174,1.0000,0.96
cytidine diphosphate,GL405,CK10,0.9158,1.0000,0.62
cytidine 5'-monophosphate (5'-CMP),GL405,CK10,0.8610,1.0000,0.83
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),GL405,CK10,0.4373,1.0000,0.46
"cytidine 2',3'-cyclic monophosphate",GL405,CK10,0.9459,1.0000,0.57
cytidine,GL405,CK10,0.5101,1.0000,0.76
cytosine,GL405,CK10,0.8474,1.0000,1.56
3-methylcytidine,GL405,CK10,0.0672,1.0000,0.37
5-methylcytidine,GL405,CK10,0.2865,1.0000,0.37
2'-deoxycytidine 5'-monophosphate,GL405,CK10,0.9842,1.0000,0.98
2'-deoxycytidine,GL405,CK10,0.4711,1.0000,0.58
2'-O-methylcytidine,GL405,CK10,0.6734,1.0000,0.66
thymidine 5'-monophosphate,GL405,CK10,0.8853,1.0000,0.92
thymidine,GL405,CK10,0.2867,1.0000,0.43
thymine,GL405,CK10,0.5172,1.0000,0.65
"5,6-dihydrothymine",GL405,CK10,0.1919,1.0000,0.35
3-aminoisobutyrate,GL405,CK10,0.4019,1.0000,0.51
methylphosphate,GL405,CK10,0.8353,1.0000,0.64
(3'-5')-adenylylcytidine,GL405,CK10,0.0072,0.5536,0.06
(3'-5')-adenylylguanosine*,GL405,CK10,0.3263,1.0000,0.13
(3'-5')-adenylyluridine,GL405,CK10,0.5135,1.0000,0.15
(3'-5')-adenylyladenosine*,GL405,CK10,0.2683,1.0000,0.19
(3'-5')-cytidylyladenosine,GL405,CK10,0.6355,1.0000,0.23
(3'-5')-cytidylylcytidine*,GL405,CK10,0.0780,1.0000,0.20
(3'-5')-cytidylylguanosine,GL405,CK10,0.3098,1.0000,0.18
(3'-5')-cytidylyluridine*,GL405,CK10,0.0836,1.0000,0.16
(3'-5')-guanylylcytidine,GL405,CK10,0.0046,0.4444,0.05
(3'-5')-guanylyluridine,GL405,CK10,0.1735,1.0000,0.14
(3'-5')-uridylylcytidine*,GL405,CK10,0.0647,1.0000,0.22
(3'-5')-uridylyluridine,GL405,CK10,0.2981,1.0000,0.23
(3'-5')-uridylyladenosine,GL405,CK10,0.2290,1.0000,0.24
quinolinate,GL405,CK10,0.8900,1.0000,0.91
nicotinate,GL405,CK10,0.1024,1.0000,0.71
nicotinate ribonucleoside,GL405,CK10,0.0809,1.0000,0.17
nicotinic acid mononucleotide (NaMN),GL405,CK10,0.0909,1.0000,0.40
nicotinamide,GL405,CK10,0.7896,1.0000,0.96
nicotinamide ribonucleotide (NMN),GL405,CK10,0.9956,1.0000,0.52
nicotinamide riboside,GL405,CK10,0.7855,1.0000,1.27
nicotinamide adenine dinucleotide (NAD+),GL405,CK10,0.4923,1.0000,0.97
6-hydroxynicotinate,GL405,CK10,0.9033,1.0000,0.48
trigonelline (N'-methylnicotinate),GL405,CK10,0.7777,1.0000,0.94
riboflavin (vitamin B2),GL405,CK10,0.2363,1.0000,0.73
flavin adenine dinucleotide (FAD),GL405,CK10,0.6827,1.0000,0.89
flavin mononucleotide (FMN),GL405,CK10,0.8867,1.0000,0.96
pantoate,GL405,CK10,0.6852,1.0000,0.79
pantothenate,GL405,CK10,0.0283,0.9325,0.56
pantethine,GL405,CK10,1.0000,1.0000,1.00
pantetheine,GL405,CK10,0.2323,1.0000,0.42
phosphopantetheine,GL405,CK10,0.1565,1.0000,0.37
3'-dephosphocoenzyme A,GL405,CK10,0.5269,1.0000,0.69
coenzyme A,GL405,CK10,0.2770,1.0000,0.62
ascorbate (vitamin C),GL405,CK10,0.2384,1.0000,0.07
dehydroascorbate,GL405,CK10,0.9748,1.0000,1.03
threonate,GL405,CK10,0.3535,1.0000,0.86
gulonate*,GL405,CK10,0.0687,1.0000,0.55
biotin,GL405,CK10,0.4663,1.0000,0.81
5-methyltetrahydrofolate (5MeTHF),GL405,CK10,0.9934,1.0000,1.01
biopterin,GL405,CK10,0.1797,1.0000,0.66
dihydrobiopterin,GL405,CK10,0.9150,1.0000,1.05
pterin,GL405,CK10,0.6081,1.0000,1.00
xanthopterin,GL405,CK10,0.6397,1.0000,0.67
protoporphyrin IX,GL405,CK10,0.6942,1.0000,0.78
heme,GL405,CK10,0.0810,1.0000,0.88
biliverdin,GL405,CK10,0.2845,1.0000,1.49
thiamin (vitamin B1),GL405,CK10,0.6024,1.0000,1.35
thiamin monophosphate,GL405,CK10,0.1338,1.0000,0.76
thiamin diphosphate,GL405,CK10,0.4722,1.0000,1.35
carotene diol (1),GL405,CK10,0.4963,1.0000,1.55
pyridoxamine,GL405,CK10,0.3689,1.0000,0.60
pyridoxamine phosphate,GL405,CK10,0.5876,1.0000,0.24
pyridoxal phosphate,GL405,CK10,0.3048,1.0000,0.51
pyridoxal,GL405,CK10,0.3861,1.0000,0.66
pyridoxate,GL405,CK10,0.5356,1.0000,0.52
benzoate,GL405,CK10,0.5745,1.0000,0.40
4-hydroxybenzoate,GL405,CK10,0.6928,1.0000,0.72
catechol,GL405,CK10,0.8661,1.0000,0.51
anthraniloyl-O-glucose,GL405,CK10,0.9103,1.0000,1.26
1-methylxanthine,GL405,CK10,0.5211,1.0000,0.44
2-piperidinone,GL405,CK10,0.1287,1.0000,1.86
3-dehydroshikimate,GL405,CK10,0.5775,1.0000,1.65
"2,3-dihydroxyisovalerate",GL405,CK10,0.5930,1.0000,0.71
dipicolinate,GL405,CK10,0.0080,0.5583,0.84
2-isopropylmalate,GL405,CK10,0.4807,1.0000,0.62
3-formylindole,GL405,CK10,0.9248,1.0000,1.46
3-hydroxyindolin-2-one,GL405,CK10,0.6522,1.0000,0.66
gluconate,GL405,CK10,0.5980,1.0000,0.73
ciliatine (2-aminoethylphosphonate),GL405,CK10,0.7649,1.0000,0.15
ergothioneine,GL405,CK10,0.7943,1.0000,0.80
erythritol,GL405,CK10,0.6903,1.0000,0.81
quinate,GL405,CK10,0.7236,1.0000,0.44
histidine betaine (hercynine)*,GL405,CK10,0.7514,1.0000,0.79
homostachydrine*,GL405,CK10,0.3666,1.0000,0.33
mannonate*,GL405,CK10,0.9837,1.0000,0.73
stachydrine,GL405,CK10,0.2310,1.0000,0.43
ethyl alpha-glucopyranoside,GL405,CK10,1.0000,1.0000,1.00
methyl glucopyranoside (alpha + beta),GL405,CK10,0.5571,1.0000,2.00
harmane,GL405,CK10,0.6836,1.0000,1.17
2-ketogluconate,GL405,CK10,0.8567,1.0000,0.31
"9,10-methylenehexadecanoate**",GL405,CK10,0.9650,1.0000,0.98
2-dimethylaminoethanol,GL405,CK10,0.1305,1.0000,0.60
3-indoleglyoxylic acid,GL405,CK10,0.9930,1.0000,0.78
ethyl beta-glucopyranoside,GL405,CK10,1.0000,1.0000,1.00
pyochelin,GL405,CK10,0.9352,1.0000,1.70
lactobacillic acid,GL405,CK10,0.7398,1.0000,0.72
7-chlorotryptophan,GL405,CK10,0.9734,1.0000,1.18
pyrrolnitrin,GL405,CK10,0.8061,1.0000,3.21
5-fluorouracil,GL405,CK10,0.4314,1.0000,0.49
salicylate,GL405,CK10,0.9221,1.0000,0.94
S-carboxymethyl-cysteine,GL405,CK10,0.0404,0.9332,0.57
sulfate*,GL405,CK10,0.8664,1.0000,0.71
O-sulfo-tyrosine,GL405,CK10,0.1330,1.0000,1.68
ectoine,GL405,CK10,0.7559,1.0000,1.64
glycerol 2-phosphate,GL405,CK10,0.2996,1.0000,0.61
"2,4-di-tert-butylphenol",GL405,CK10,0.8811,1.0000,0.85
thioproline,GL405,CK10,0.3607,1.0000,0.82
glutamine_degradant*,GL405,CK10,0.1501,1.0000,0.57
X-10445,GL405,CK10,1.0000,1.0000,1.00
X-11580,GL405,CK10,0.6720,1.0000,0.69
X-11612,GL405,CK10,0.2336,1.0000,0.42
X-11615,GL405,CK10,0.5506,1.0000,2.62
X-11787,GL405,CK10,0.6579,1.0000,0.71
X-11795,GL405,CK10,0.3513,1.0000,4.93
X-12026,GL405,CK10,0.4507,1.0000,0.80
X-12100,GL405,CK10,0.6857,1.0000,1.06
X-12101,GL405,CK10,0.8381,1.0000,0.88
X-12411,GL405,CK10,0.9486,1.0000,1.00
X-12462,GL405,CK10,0.7691,1.0000,0.85
X-13507,GL405,CK10,0.7398,1.0000,0.61
X-14056,GL405,CK10,0.6429,1.0000,0.58
X-14254,GL405,CK10,0.2308,1.0000,0.35
X-15161,GL405,CK10,0.7043,1.0000,1.08
X-15245,GL405,CK10,0.4249,1.0000,4.84
X-15461,GL405,CK10,0.1497,1.0000,0.25
X-15520,GL405,CK10,0.9399,1.0000,0.92
X-15853,GL405,CK10,0.2255,1.0000,0.23
X-16938,GL405,CK10,0.9657,1.0000,0.87
X-17009,GL405,CK10,0.4963,1.0000,0.32
X-17335,GL405,CK10,0.4590,1.0000,0.72
X-17761,GL405,CK10,0.4459,1.0000,0.57
X-17877,GL405,CK10,0.4093,1.0000,0.53
X-18278,GL405,CK10,0.5392,1.0000,0.44
X-20100,GL405,CK10,0.2346,1.0000,0.20
X-20172,GL405,CK10,0.3598,1.0000,0.21
X-20716,GL405,CK10,0.0245,0.9325,0.23
X-20747,GL405,CK10,0.3318,1.0000,0.36
X-21353,GL405,CK10,0.8108,1.0000,1.11
X-21607,GL405,CK10,0.6879,1.0000,0.69
X-21796,GL405,CK10,0.7427,1.0000,1.17
X-22062,GL405,CK10,0.5282,1.0000,0.53
X-22776,GL405,CK10,0.7335,1.0000,0.86
X-23109,GL405,CK10,0.4290,1.0000,1.12
X-23587,GL405,CK10,0.0245,0.9325,0.25
X-23593,GL405,CK10,0.5580,1.0000,0.41
X-23639,GL405,CK10,0.4306,1.0000,0.69
X-23648,GL405,CK10,0.6988,1.0000,0.80
X-23654,GL405,CK10,0.1919,1.0000,0.24
X-23662,GL405,CK10,0.3917,1.0000,0.21
X-23672,GL405,CK10,0.2278,1.0000,1.65
X-23739,GL405,CK10,0.4542,1.0000,0.28
X-24243,GL405,CK10,0.3148,1.0000,0.07
X-24425,GL405,CK10,0.4656,1.0000,1.06
X-24456,GL405,CK10,0.4010,1.0000,0.73
X-24608,GL405,CK10,0.4753,1.0000,0.63
X-24697,GL405,CK10,0.8338,1.0000,0.61
X-24728,GL405,CK10,0.7197,1.0000,0.88
X-24729,GL405,CK10,0.6028,1.0000,2.60
X-24807,GL405,CK10,0.4081,1.0000,1.01
X-25004,GL405,CK10,0.5172,1.0000,0.51
X-25009,GL405,CK10,0.6646,1.0000,1.06
X-25026,GL405,CK10,0.7694,1.0000,0.67
X-25080,GL405,CK10,0.1666,1.0000,0.26
X-25102,GL405,CK10,0.5679,1.0000,0.55
X-25109,GL405,CK10,0.8114,1.0000,0.86
X-25111,GL405,CK10,0.8826,1.0000,1.09
X-25180,GL405,CK10,0.8868,1.0000,0.80
X-25551,GL405,CK10,0.7008,1.0000,0.87
X-25563,GL405,CK10,0.4082,1.0000,0.70
X-25594,GL405,CK10,0.1858,1.0000,0.50
X-25837,GL405,CK10,0.8617,1.0000,0.90
X-25936,GL405,CK10,0.1937,1.0000,0.43
X-25940,GL405,CK10,0.9511,1.0000,1.25
X-25948,GL405,CK10,0.4369,1.0000,1.64
X-25955,GL405,CK10,0.3806,1.0000,0.69
X-25984,GL405,CK10,0.3819,1.0000,0.44
X-26008,GL405,CK10,0.7187,1.0000,0.88
X-26094,GL405,CK10,0.1002,1.0000,0.63
X-26095,GL405,CK10,0.6073,1.0000,2.43
X-26127,GL405,CK10,0.7217,1.0000,0.63
glycine,GL405,CL2355,0.2925,0.7850,0.82
N-acetylglycine,GL405,CL2355,0.1875,0.7462,2.03
sarcosine,GL405,CL2355,0.6997,1.0000,1.91
dimethylglycine,GL405,CL2355,0.9086,1.0000,3.54
betaine,GL405,CL2355,0.4451,0.8731,0.45
betaine aldehyde,GL405,CL2355,0.2166,0.7773,2.00
serine,GL405,CL2355,0.6101,0.9708,0.75
N-acetylserine,GL405,CL2355,0.5550,0.9380,0.65
3-phosphoserine,GL405,CL2355,0.2301,0.7809,0.47
threonine,GL405,CL2355,0.5299,0.9195,0.86
N-acetylthreonine,GL405,CL2355,0.2360,0.7809,0.58
O-acetylhomoserine,GL405,CL2355,0.9844,1.0000,1.07
homoserine lactone,GL405,CL2355,0.3087,0.8082,0.93
alanine,GL405,CL2355,0.5767,0.9566,0.82
N-acetylalanine,GL405,CL2355,0.5849,0.9626,0.71
aspartate,GL405,CL2355,0.6736,0.9970,0.68
N-acetylaspartate (NAA),GL405,CL2355,0.9402,1.0000,0.80
asparagine,GL405,CL2355,0.7630,1.0000,1.08
N-acetylasparagine,GL405,CL2355,0.0536,0.5473,0.34
glutamate,GL405,CL2355,0.4344,0.8678,0.78
glutamine,GL405,CL2355,0.9160,1.0000,0.94
alpha-ketoglutaramate*,GL405,CL2355,0.9865,1.0000,0.91
N-acetylglutamate,GL405,CL2355,0.8378,1.0000,2.19
N-acetylglutamine,GL405,CL2355,0.9832,1.0000,1.07
4-hydroxyglutamate,GL405,CL2355,0.5194,0.9137,0.28
"glutamate, gamma-methyl ester",GL405,CL2355,0.0899,0.6209,0.41
S-1-pyrroline-5-carboxylate,GL405,CL2355,0.2422,0.7809,1.69
propionylglutamine,GL405,CL2355,0.1907,0.7502,0.16
histidine,GL405,CL2355,0.4756,0.8919,0.79
1-methylhistidine,GL405,CL2355,0.0461,0.5436,0.51
3-methylhistidine,GL405,CL2355,0.6086,0.9708,0.87
N-acetylhistidine,GL405,CL2355,0.2738,0.7842,0.48
N-acetyl-3-methylhistidine*,GL405,CL2355,0.0513,0.5473,3.30
N-acetyl-1-methylhistidine*,GL405,CL2355,0.4245,0.8674,0.72
trans-urocanate,GL405,CL2355,0.7983,1.0000,0.78
cis-urocanate,GL405,CL2355,0.6727,0.9970,0.69
imidazole propionate,GL405,CL2355,0.9251,1.0000,0.77
formiminoglutamate,GL405,CL2355,0.8310,1.0000,0.70
imidazole lactate,GL405,CL2355,0.7604,1.0000,1.08
1-methyl-5-imidazoleacetate,GL405,CL2355,0.4958,0.9058,0.84
1-ribosyl-imidazoleacetate*,GL405,CL2355,0.0002,0.0714,4.67
4-imidazoleacetate,GL405,CL2355,0.9085,1.0000,0.91
N-acetylhistamine,GL405,CL2355,0.2620,0.7842,0.38
histidine methyl ester,GL405,CL2355,0.2809,0.7842,0.69
lysine,GL405,CL2355,0.8936,1.0000,1.03
N2-acetyllysine,GL405,CL2355,0.3463,0.8417,0.48
N6-acetyllysine,GL405,CL2355,0.2924,0.7850,0.22
"N2,N6-diacetyllysine",GL405,CL2355,0.0229,0.4347,0.04
N6-methyllysine,GL405,CL2355,0.4394,0.8685,0.35
"N6,N6,N6-trimethyllysine",GL405,CL2355,0.1665,0.7357,0.62
"hydroxy-N6,N6,N6-trimethyllysine*",GL405,CL2355,0.2370,0.7809,1.59
5-hydroxylysine,GL405,CL2355,0.8649,1.0000,1.46
fructosyllysine,GL405,CL2355,0.3430,0.8417,0.60
saccharopine,GL405,CL2355,0.6501,0.9871,0.96
2-aminoadipate,GL405,CL2355,0.4713,0.8903,0.57
2-oxoadipate,GL405,CL2355,0.9296,1.0000,0.89
pipecolate,GL405,CL2355,0.0245,0.4366,0.13
6-oxopiperidine-2-carboxylate,GL405,CL2355,0.8079,1.0000,1.08
cadaverine,GL405,CL2355,0.8334,1.0000,0.94
N-acetyl-cadaverine,GL405,CL2355,0.1154,0.6782,4.13
5-aminovalerate,GL405,CL2355,0.1618,0.7327,0.26
"N,N,N-trimethyl-5-aminovalerate",GL405,CL2355,0.1741,0.7421,10.02
phenylalanine,GL405,CL2355,0.5490,0.9380,0.72
N-acetylphenylalanine,GL405,CL2355,0.9117,1.0000,1.51
phenylpyruvate,GL405,CL2355,0.7981,1.0000,0.88
phenyllactate (PLA),GL405,CL2355,0.1461,0.7126,0.53
phenethylamine,GL405,CL2355,0.9540,1.0000,0.98
phenylacetate,GL405,CL2355,0.1705,0.7415,0.48
2-hydroxyphenylacetate,GL405,CL2355,0.7138,1.0000,2.12
4-hydroxyphenylacetate,GL405,CL2355,0.6893,1.0000,0.69
tyrosine,GL405,CL2355,0.8086,1.0000,0.91
N-acetyltyrosine,GL405,CL2355,0.7839,1.0000,1.44
tyramine,GL405,CL2355,0.0139,0.4110,2.97
4-hydroxyphenylpyruvate,GL405,CL2355,0.3581,0.8482,1.38
homogentisate,GL405,CL2355,0.8021,1.0000,1.39
3-(4-hydroxyphenyl)lactate,GL405,CL2355,0.0871,0.6209,0.51
dopamine,GL405,CL2355,0.3228,0.8281,0.21
o-tyrosine,GL405,CL2355,0.2869,0.7842,1.42
O-methyltyrosine,GL405,CL2355,0.2610,0.7842,0.69
gentisate,GL405,CL2355,0.9876,1.0000,0.67
N-formylphenylalanine,GL405,CL2355,0.4813,0.8948,1.16
tryptophan,GL405,CL2355,0.4384,0.8685,0.73
N-acetyltryptophan,GL405,CL2355,0.5684,0.9519,2.84
C-glycosyltryptophan,GL405,CL2355,0.0504,0.5473,0.66
oxindolylalanine,GL405,CL2355,0.0736,0.5821,0.55
N-formylkynurenine,GL405,CL2355,0.1205,0.6783,0.52
kynurenine,GL405,CL2355,0.6891,1.0000,0.85
kynurenate,GL405,CL2355,0.7210,1.0000,0.62
N-formylanthranilic acid,GL405,CL2355,0.7930,1.0000,1.14
anthranilate,GL405,CL2355,0.4251,0.8674,0.66
picolinate,GL405,CL2355,0.0506,0.5473,0.51
N-acetylserotonin,GL405,CL2355,0.2135,0.7773,0.44
indolelactate,GL405,CL2355,0.2335,0.7809,0.52
indoleacetate,GL405,CL2355,0.5874,0.9647,7.61
tryptophol,GL405,CL2355,0.0776,0.6072,10.78
indole-3-carboxylate,GL405,CL2355,0.1686,0.7391,0.41
leucine,GL405,CL2355,0.9244,1.0000,0.89
N-acetylleucine,GL405,CL2355,0.2847,0.7842,0.54
4-methyl-2-oxopentanoate,GL405,CL2355,0.6512,0.9871,1.05
alpha-hydroxyisocaproate,GL405,CL2355,0.2347,0.7809,0.62
isovaleryl/2-methylbutyryl CoA,GL405,CL2355,0.3056,0.8061,0.42
isovalerate (i5:0),GL405,CL2355,0.9786,1.0000,0.97
isovalerylglycine,GL405,CL2355,0.2455,0.7812,0.46
isovalerylcarnitine (C5),GL405,CL2355,0.9005,1.0000,1.00
beta-hydroxyisovalerate,GL405,CL2355,0.9981,1.0000,0.95
beta-hydroxyisovaleroylcarnitine,GL405,CL2355,0.8962,1.0000,1.01
beta-hydroxyisovalerylglycine,GL405,CL2355,0.2127,0.7773,0.34
3-methylglutaconate,GL405,CL2355,0.1882,0.7462,0.49
isoleucine,GL405,CL2355,0.9316,1.0000,0.91
N-acetylisoleucine,GL405,CL2355,0.1395,0.7041,0.56
3-methyl-2-oxovalerate,GL405,CL2355,0.7776,1.0000,0.99
2-hydroxy-3-methylvalerate,GL405,CL2355,0.4785,0.8930,0.71
2-methylbutyrylcarnitine (C5),GL405,CL2355,0.6708,0.9970,0.92
tiglylcarnitine (C5:1-DC),GL405,CL2355,0.9884,1.0000,0.76
ethylmalonate,GL405,CL2355,0.1226,0.6783,0.29
methylsuccinate,GL405,CL2355,0.9443,1.0000,0.86
valine,GL405,CL2355,0.7670,1.0000,0.80
N-acetylvaline,GL405,CL2355,0.5273,0.9171,0.45
3-methyl-2-oxobutyrate,GL405,CL2355,0.4405,0.8685,1.11
alpha-hydroxyisovalerate,GL405,CL2355,0.8460,1.0000,0.99
isobutyrylcarnitine (C4),GL405,CL2355,0.8158,1.0000,0.83
3-hydroxyisobutyrate,GL405,CL2355,0.6659,0.9970,0.70
methionine,GL405,CL2355,0.8301,1.0000,0.82
N-acetylmethionine,GL405,CL2355,0.5126,0.9137,0.62
N-formylmethionine,GL405,CL2355,0.6473,0.9870,0.90
methionine sulfone,GL405,CL2355,0.7817,1.0000,2.92
methionine sulfoxide,GL405,CL2355,0.8616,1.0000,0.99
N-acetylmethionine sulfoxide,GL405,CL2355,0.8744,1.0000,1.12
S-adenosylmethionine (SAM),GL405,CL2355,0.0337,0.4971,0.22
S-adenosylhomocysteine (SAH),GL405,CL2355,0.1217,0.6783,0.17
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",GL405,CL2355,0.7988,1.0000,0.92
2-hydroxy-4-(methylthio)butanoic acid,GL405,CL2355,0.9794,1.0000,1.35
cystathionine,GL405,CL2355,0.9735,1.0000,2.41
cysteine,GL405,CL2355,0.4578,0.8801,0.92
N-acetylcysteine,GL405,CL2355,0.8642,1.0000,1.15
S-methylcysteine,GL405,CL2355,0.2130,0.7773,0.39
S-methylcysteine sulfoxide,GL405,CL2355,0.7717,1.0000,0.44
cysteine s-sulfate,GL405,CL2355,0.7718,1.0000,0.64
cystine,GL405,CL2355,0.9209,1.0000,2.06
lanthionine,GL405,CL2355,0.0583,0.5483,0.52
hypotaurine,GL405,CL2355,0.4025,0.8617,0.54
taurine,GL405,CL2355,0.5939,0.9673,0.75
N-acetyltaurine,GL405,CL2355,0.2927,0.7850,0.59
3-sulfo-alanine,GL405,CL2355,0.5913,0.9670,0.15
cyano-alanine,GL405,CL2355,0.0356,0.5055,6.73
arginine,GL405,CL2355,0.7246,1.0000,0.92
argininosuccinate,GL405,CL2355,0.1265,0.6783,0.40
urea,GL405,CL2355,0.0428,0.5250,6.27
ornithine,GL405,CL2355,0.8600,1.0000,0.84
3-amino-2-piperidone,GL405,CL2355,0.1784,0.7462,0.46
2-oxoarginine*,GL405,CL2355,0.1318,0.6798,2.61
citrulline,GL405,CL2355,0.2635,0.7842,0.21
homoarginine,GL405,CL2355,0.3861,0.8617,0.77
homocitrulline,GL405,CL2355,0.3150,0.8148,0.21
proline,GL405,CL2355,0.6342,0.9804,0.86
dimethylarginine (SDMA + ADMA),GL405,CL2355,0.5815,0.9592,0.94
N-acetylarginine,GL405,CL2355,0.0287,0.4518,0.44
N-delta-acetylornithine,GL405,CL2355,0.8301,1.0000,1.10
trans-4-hydroxyproline,GL405,CL2355,0.1153,0.6782,0.07
pro-hydroxy-pro,GL405,CL2355,0.8096,1.0000,2.98
N-methylproline,GL405,CL2355,0.2659,0.7842,0.68
N-monomethylarginine,GL405,CL2355,0.4533,0.8801,1.01
argininate*,GL405,CL2355,0.0511,0.5473,0.32
creatine,GL405,CL2355,0.0609,0.5483,0.38
agmatine,GL405,CL2355,0.0887,0.6209,3.80
acetylagmatine,GL405,CL2355,0.3384,0.8417,4.76
putrescine,GL405,CL2355,0.0133,0.4110,2.55
N-acetylputrescine,GL405,CL2355,0.1299,0.6787,5.23
N-carbamoylputrescine,GL405,CL2355,0.9905,1.0000,1.61
isoputreanine,GL405,CL2355,0.7162,1.0000,0.26
N-acetyl-isoputreanine,GL405,CL2355,0.4728,0.8911,0.45
spermidine,GL405,CL2355,0.4708,0.8903,1.32
N('1)-acetylspermidine,GL405,CL2355,0.0909,0.6209,0.60
diacetylspermidine*,GL405,CL2355,0.5523,0.9380,1.39
spermine,GL405,CL2355,0.0664,0.5565,5.43
N(1)-acetylspermine,GL405,CL2355,0.2023,0.7773,0.39
"N1,N12-diacetylspermine",GL405,CL2355,0.1192,0.6783,0.41
S-adenosylmethioninamine,GL405,CL2355,0.0938,0.6209,0.29
5-methylthioadenosine (MTA),GL405,CL2355,0.0232,0.4347,0.30
4-acetamidobutanoate,GL405,CL2355,0.5035,0.9108,0.53
4-guanidinobutanoate,GL405,CL2355,0.2130,0.7773,0.18
"glutathione, reduced (GSH)",GL405,CL2355,0.7810,1.0000,0.76
"glutathione, oxidized (GSSG)",GL405,CL2355,0.9762,1.0000,0.48
cysteine-glutathione disulfide,GL405,CL2355,0.4287,0.8676,0.52
cysteinylglycine,GL405,CL2355,0.2871,0.7842,0.64
cysteinylglycine disulfide*,GL405,CL2355,0.5969,0.9700,0.72
5-oxoproline,GL405,CL2355,0.6811,1.0000,1.45
2-hydroxybutyrate/2-hydroxyisobutyrate,GL405,CL2355,0.1578,0.7292,0.35
ophthalmate,GL405,CL2355,0.6726,0.9970,0.34
"S-(1,2-dicarboxyethyl)glutathione",GL405,CL2355,1.0000,1.0000,1.00
CoA-glutathione*,GL405,CL2355,0.9847,1.0000,1.04
gamma-glutamylalanine,GL405,CL2355,0.3590,0.8482,0.41
gamma-glutamylcysteine,GL405,CL2355,0.8079,1.0000,1.05
gamma-glutamylglutamate,GL405,CL2355,0.5183,0.9137,0.65
gamma-glutamylglutamine,GL405,CL2355,0.5509,0.9380,0.47
gamma-glutamylglycine,GL405,CL2355,0.1751,0.7421,0.36
gamma-glutamylhistidine,GL405,CL2355,0.4028,0.8617,0.46
gamma-glutamylisoleucine*,GL405,CL2355,0.4182,0.8674,0.33
gamma-glutamylleucine,GL405,CL2355,0.5031,0.9108,0.39
gamma-glutamyl-alpha-lysine,GL405,CL2355,0.2321,0.7809,0.26
gamma-glutamylmethionine,GL405,CL2355,0.5704,0.9532,0.63
gamma-glutamylphenylalanine,GL405,CL2355,0.5783,0.9566,0.65
