metabolite,numerator,denominator,p-value,q-value,FC
biotin,GL405,CK10,0.1471,0.2156,1.52
5-methyltetrahydrofolate (5MeTHF),GL405,CK10,0.0445,0.1248,3.42
biopterin,GL405,CK10,0.3466,0.3292,1.35
dihydrobiopterin,GL405,CK10,0.1252,0.1974,0.61
pterin,GL405,CK10,0.5484,0.4092,0.72
xanthopterin,GL405,CK10,0.0752,0.1624,2.2
protoporphyrin IX,GL405,CK10,0.0031,0.0275,0.05
heme,GL405,CK10,0.1593,0.2234,56.93
biliverdin,GL405,CK10,0.0192,0.0739,2.23
thiamin (vitamin B1),GL405,CK10,0.3409,0.3259,1.37
thiamin monophosphate,GL405,CK10,0.0624,0.1487,1.43
thiamin diphosphate,GL405,CK10,0.7489,0.4724,1.29
carotene diol (1),GL405,CK10,0.5226,0.4023,1.36
pyridoxamine,GL405,CK10,0.5347,0.4036,1.29
pyridoxamine phosphate,GL405,CK10,0.6898,0.4552,0.82
pyridoxal phosphate,GL405,CK10,0.6746,0.453,0.85
pyridoxal,GL405,CK10,0.0031,0.0275,2.57
pyridoxate,GL405,CK10,0.6034,0.4323,0.7
benzoate,GL405,CK10,0.6901,0.4552,0.79
4-hydroxybenzoate,GL405,CK10,0.0023,0.0224,0.27
catechol,GL405,CK10,0.0993,0.1792,0.16
anthraniloyl-O-glucose,GL405,CK10,0.228,0.262,4.89
1-methylxanthine,GL405,CK10,0.2364,0.2695,0.35
2-piperidinone,GL405,CK10,0.1256,0.1974,2.98
3-dehydroshikimate,GL405,CK10,0.8259,0.491,1.76
"2,3-dihydroxyisovalerate",GL405,CK10,0.7797,0.4793,0.75
dipicolinate,GL405,CK10,1,0.541,1
2-isopropylmalate,GL405,CK10,0.2773,0.292,0.49
3-formylindole,GL405,CK10,0.1105,0.1833,0.39
3-hydroxyindolin-2-one,GL405,CK10,0.3472,0.3292,0.39
gluconate,GL405,CK10,0.6517,0.4477,2.09
ciliatine (2-aminoethylphosphonate),GL405,CK10,0.3057,0.3051,0.23
ergothioneine,GL405,CK10,0.4516,0.3804,0.3
erythritol,GL405,CK10,0.2375,0.2699,0.54
quinate,GL405,CK10,0.2119,0.2554,0.39
histidine betaine (hercynine)*,GL405,CK10,0.1147,0.1889,0.24
homostachydrine*,GL405,CK10,0.9671,0.5378,0.8
mannonate*,GL405,CK10,0.4902,0.3911,0.31
stachydrine,GL405,CK10,0.0784,0.1654,0.29
ethyl alpha-glucopyranoside,GL405,CK10,0.1735,0.2315,0.36
methyl glucopyranoside (alpha + beta),GL405,CK10,0.9061,0.5178,1.09
harmane,GL405,CK10,0.1892,0.2403,1.49
2-ketogluconate,GL405,CK10,0.6951,0.4564,0.43
"9,10-methylenehexadecanoate**",GL405,CK10,0.27,0.2903,1.94
2-dimethylaminoethanol,GL405,CK10,0.5007,0.3965,0.76
3-indoleglyoxylic acid,GL405,CK10,0.1329,0.2048,0.41
ethyl beta-glucopyranoside,GL405,CK10,0.6687,0.4528,1.24
pyochelin,GL405,CK10,0.4592,0.3804,0.26
lactobacillic acid,GL405,CK10,0.2713,0.2903,1.95
7-chlorotryptophan,GL405,CK10,0.959,0.5363,0.89
pyrrolnitrin,GL405,CK10,0.7203,0.4646,2.02
5-fluorouracil,GL405,CK10,0.1179,0.1925,0.19
salicylate,GL405,CK10,0.528,0.4036,1.64
S-carboxymethyl-cysteine,GL405,CK10,0.5069,0.3977,1.31
sulfate*,GL405,CK10,0.1048,0.1811,2.41
O-sulfo-tyrosine,GL405,CK10,0.0437,0.1242,0.54
ectoine,GL405,CK10,0.7994,0.4855,0.84
glycerol 2-phosphate,GL405,CK10,0.0038,0.0314,0.36
"2,4-di-tert-butylphenol",GL405,CK10,0.0315,0.103,2.06
thioproline,GL405,CK10,0.1742,0.2315,1.81
glutamine_degradant*,GL405,CK10,0.6748,0.453,1.19
X-10445,GL405,CK10,0.1068,0.1831,5.88
X-11580,GL405,CK10,0.1298,0.2017,2.12
X-11612,GL405,CK10,0.2019,0.2515,0.52
X-11615,GL405,CK10,0.8782,0.5089,0.71
X-11787,GL405,CK10,0.0963,0.1752,3.86
X-11795,GL405,CK10,0.5318,0.4036,2
X-12026,GL405,CK10,0.3008,0.3051,1.51
X-12100,GL405,CK10,0.001,0.0131,2.22
X-12101,GL405,CK10,0.6188,0.4387,0.78
X-12411,GL405,CK10,0.9008,0.5162,1.19
X-12462,GL405,CK10,0.6503,0.4477,0.74
X-13507,GL405,CK10,0.4851,0.3894,0.6
X-14056,GL405,CK10,0.4481,0.3799,0.72
X-14254,GL405,CK10,0.2946,0.3033,3.24
X-15161,GL405,CK10,0.7486,0.4724,1.27
X-15245,GL405,CK10,0.0829,0.1689,0.1
X-15461,GL405,CK10,0.9653,0.5378,1.69
X-15520,GL405,CK10,0.7575,0.4727,1.07
X-15853,GL405,CK10,0.4898,0.3911,1.92
X-16938,GL405,CK10,0.728,0.4676,0.83
X-17009,GL405,CK10,0.000033074,0.0027,0.03
X-17335,GL405,CK10,0.0016,0.0183,0.3
X-17761,GL405,CK10,0.0013,0.0162,0.18
X-17877,GL405,CK10,0.3152,0.3075,3.18
X-18278,GL405,CK10,0.2163,0.2564,4.2
X-20100,GL405,CK10,0.3763,0.3424,2.61
X-20172,GL405,CK10,0.3851,0.3449,2.69
X-20716,GL405,CK10,0.7184,0.4646,0.89
X-20747,GL405,CK10,0.145,0.214,7.51
X-21353,GL405,CK10,0.8669,0.5052,1.11
X-21607,GL405,CK10,0.5871,0.4265,0.69
X-21796,GL405,CK10,0.0464,0.1285,1.84
X-22062,GL405,CK10,0.5257,0.4036,2.01
X-22776,GL405,CK10,0.3623,0.3371,1.61
X-23109,GL405,CK10,0.674,0.453,1.15
X-23587,GL405,CK10,0.5326,0.4036,0.69
X-23593,GL405,CK10,0.6044,0.4323,0.49
X-23639,GL405,CK10,0.8956,0.5161,0.95
X-23648,GL405,CK10,0.8895,0.514,0.82
X-23654,GL405,CK10,0.2073,0.2535,0.37
X-23662,GL405,CK10,0.1105,0.1833,5.54
X-23672,GL405,CK10,1.8973E-06,0.0004,0.1
X-23739,GL405,CK10,0.5039,0.3975,0.44
X-24243,GL405,CK10,0.4577,0.3804,0.37
X-24425,GL405,CK10,0.1312,0.2031,1.76
X-24456,GL405,CK10,0.0373,0.1146,1.81
X-24608,GL405,CK10,0.0518,0.1322,0.3
X-24697,GL405,CK10,0.3111,0.3067,0.33
X-24728,GL405,CK10,0.3497,0.3304,1.78
X-24729,GL405,CK10,0.4665,0.384,2.01
X-24807,GL405,CK10,0.4094,0.3607,0.31
X-25004,GL405,CK10,0.4117,0.3619,1.71
X-25009,GL405,CK10,0.0153,0.0659,2.83
X-25026,GL405,CK10,0.0927,0.1735,2.98
X-25080,GL405,CK10,0.402,0.3555,1.85
X-25102,GL405,CK10,0.3057,0.3051,1.93
X-25109,GL405,CK10,0.9682,0.5378,1.36
X-25111,GL405,CK10,0.1581,0.2226,0.2
X-25180,GL405,CK10,0.0879,0.1709,3.03
X-25551,GL405,CK10,0.0838,0.1689,3.31
X-25563,GL405,CK10,0.0354,0.1105,3.41
X-25594,GL405,CK10,0.3719,0.3391,1.41
X-25837,GL405,CK10,0.0081,0.0454,0.04
X-25936,GL405,CK10,0.1388,0.2101,1.68
X-25940,GL405,CK10,0.6202,0.4387,0.48
X-25948,GL405,CK10,0.0847,0.1689,2.11
X-25955,GL405,CK10,0.9977,0.541,0.98
X-25984,GL405,CK10,0.5415,0.4061,0.66
X-26008,GL405,CK10,0.3694,0.3387,2.42
X-26094,GL405,CK10,0.0558,0.1379,0.46
X-26095,GL405,CK10,0.8615,0.5028,0.51
X-26127,GL405,CK10,0.2409,0.2709,0.22
glycine,GL405,CL2355,0.0329,0.1282,1.46
N-acetylglycine,GL405,CL2355,0.2916,0.3679,1.41
sarcosine,GL405,CL2355,0.0330,0.1282,0.2
dimethylglycine,GL405,CL2355,0.5465,0.4935,0.37
betaine,GL405,CL2355,0.8506,0.5912,1.12
betaine aldehyde,GL405,CL2355,0.1290,0.2493,0.4
serine,GL405,CL2355,0.0185,0.0968,2.5
N-acetylserine,GL405,CL2355,0.5078,0.4805,1.15
3-phosphoserine,GL405,CL2355,0.0369,0.1367,0.28
threonine,GL405,CL2355,0.0047,0.0617,2.44
N-acetylthreonine,GL405,CL2355,0.4233,0.4406,1.42
O-acetylhomoserine,GL405,CL2355,0.3417,0.3994,1.66
homoserine lactone,GL405,CL2355,0.0158,0.0881,4.51
alanine,GL405,CL2355,0.0150,0.0868,1.71
N-acetylalanine,GL405,CL2355,0.3401,0.3984,1.26
aspartate,GL405,CL2355,0.2259,0.3311,1.65
N-acetylaspartate (NAA),GL405,CL2355,0.6632,0.5334,1.2
asparagine,GL405,CL2355,0.0256,0.1172,9.07
N-acetylasparagine,GL405,CL2355,0.8499,0.5912,1.08
glutamate,GL405,CL2355,0.4631,0.4556,1.24
glutamine,GL405,CL2355,0.0543,0.1625,4.95
alpha-ketoglutaramate*,GL405,CL2355,0.5898,0.5050,1.35
N-acetylglutamate,GL405,CL2355,0.4294,0.4429,0.6
N-acetylglutamine,GL405,CL2355,0.4534,0.4503,1.51
4-hydroxyglutamate,GL405,CL2355,0.5359,0.4894,0.43
"glutamate, gamma-methyl ester",GL405,CL2355,0.0287,0.1260,0.16
S-1-pyrroline-5-carboxylate,GL405,CL2355,0.0011,0.0398,5.65
propionylglutamine,GL405,CL2355,0.2759,0.3607,2.04
histidine,GL405,CL2355,0.0066,0.0654,2.42
1-methylhistidine,GL405,CL2355,0.0100,0.0780,0.36
3-methylhistidine,GL405,CL2355,0.0505,0.1599,0.44
N-acetylhistidine,GL405,CL2355,0.1058,0.2212,2.09
N-acetyl-3-methylhistidine*,GL405,CL2355,0.4363,0.4455,1.51
N-acetyl-1-methylhistidine*,GL405,CL2355,0.6202,0.5187,0.81
trans-urocanate,GL405,CL2355,0.9350,0.6224,0.87
cis-urocanate,GL405,CL2355,0.8694,0.5998,0.82
imidazole propionate,GL405,CL2355,0.7066,0.5580,1.38
formiminoglutamate,GL405,CL2355,0.5731,0.4999,0.76
imidazole lactate,GL405,CL2355,0.0748,0.1890,0.57
1-methyl-5-imidazoleacetate,GL405,CL2355,0.5209,0.4858,0.69
1-ribosyl-imidazoleacetate*,GL405,CL2355,1.0000,0.6324,1
4-imidazoleacetate,GL405,CL2355,0.3524,0.4044,1.38
N-acetylhistamine,GL405,CL2355,0.3467,0.4031,1.51
histidine methyl ester,GL405,CL2355,0.3844,0.4261,0.65
lysine,GL405,CL2355,0.0217,0.1054,7.91
N2-acetyllysine,GL405,CL2355,0.2777,0.3617,1.52
N6-acetyllysine,GL405,CL2355,0.2725,0.3593,2.55
"N2,N6-diacetyllysine",GL405,CL2355,0.2049,0.3206,2.95
N6-methyllysine,GL405,CL2355,0.8956,0.6058,1.02
"N6,N6,N6-trimethyllysine",GL405,CL2355,0.7465,0.5637,1.08
"hydroxy-N6,N6,N6-trimethyllysine*",GL405,CL2355,0.0020,0.0428,2.54
5-hydroxylysine,GL405,CL2355,0.4476,0.4499,1.49
fructosyllysine,GL405,CL2355,0.0004,0.0253,6.08
saccharopine,GL405,CL2355,0.0114,0.0816,2.54
2-aminoadipate,GL405,CL2355,0.0099,0.0780,7.91
2-oxoadipate,GL405,CL2355,0.0461,0.1539,2.62
pipecolate,GL405,CL2355,0.4056,0.4372,0.37
6-oxopiperidine-2-carboxylate,GL405,CL2355,0.0025,0.0485,4.63
cadaverine,GL405,CL2355,0.7901,0.5806,1.23
N-acetyl-cadaverine,GL405,CL2355,0.0669,0.1790,5.53
5-aminovalerate,GL405,CL2355,0.4518,0.4503,0.49
"N,N,N-trimethyl-5-aminovalerate",GL405,CL2355,0.2219,0.3301,0.11
phenylalanine,GL405,CL2355,0.0084,0.0758,2.63
N-acetylphenylalanine,GL405,CL2355,0.8364,0.5888,1.13
phenylpyruvate,GL405,CL2355,0.1788,0.2939,1
phenyllactate (PLA),GL405,CL2355,0.8912,0.6058,1.34
phenethylamine,GL405,CL2355,0.2878,0.3657,1.45
phenylacetate,GL405,CL2355,0.8641,0.5976,0.79
2-hydroxyphenylacetate,GL405,CL2355,0.3603,0.4113,0.49
4-hydroxyphenylacetate,GL405,CL2355,0.4755,0.4650,0.49
tyrosine,GL405,CL2355,0.0008,0.0331,3.43
N-acetyltyrosine,GL405,CL2355,0.9793,0.6324,0.96
tyramine,GL405,CL2355,0.6602,0.5319,1.26
4-hydroxyphenylpyruvate,GL405,CL2355,0.3290,0.3940,0.88
homogentisate,GL405,CL2355,0.1552,0.2738,2.4
3-(4-hydroxyphenyl)lactate,GL405,CL2355,0.2459,0.3409,1.56
dopamine,GL405,CL2355,0.0604,0.1724,3.16
o-tyrosine,GL405,CL2355,0.0018,0.0411,4.51
O-methyltyrosine,GL405,CL2355,0.3398,0.3984,1.37
gentisate,GL405,CL2355,0.7217,0.5599,0.9
N-formylphenylalanine,GL405,CL2355,0.5851,0.5031,1.24
tryptophan,GL405,CL2355,0.0005,0.0256,3.27
N-acetyltryptophan,GL405,CL2355,0.6269,0.5216,0.64
C-glycosyltryptophan,GL405,CL2355,0.0312,0.1282,0.64
oxindolylalanine,GL405,CL2355,0.0017,0.0411,4.03
N-formylkynurenine,GL405,CL2355,0.3364,0.3970,1.35
kynurenine,GL405,CL2355,0.0042,0.0617,7.55
kynurenate,GL405,CL2355,0.7556,0.5664,0.49
N-formylanthranilic acid,GL405,CL2355,0.4765,0.4650,1.37
anthranilate,GL405,CL2355,0.0854,0.1975,2.41
picolinate,GL405,CL2355,0.7249,0.5606,1.05
N-acetylserotonin,GL405,CL2355,0.0098,0.0780,0.13
indolelactate,GL405,CL2355,0.8320,0.5888,1.14
indoleacetate,GL405,CL2355,0.9283,0.6204,0.55
tryptophol,GL405,CL2355,0.0730,0.1882,0.16
indole-3-carboxylate,GL405,CL2355,0.2256,0.3311,0.55
leucine,GL405,CL2355,0.0036,0.0598,3.76
N-acetylleucine,GL405,CL2355,0.0853,0.1975,2.15
4-methyl-2-oxopentanoate,GL405,CL2355,0.0033,0.0590,4.7
alpha-hydroxyisocaproate,GL405,CL2355,0.0015,0.0398,7.65
isovaleryl/2-methylbutyryl CoA,GL405,CL2355,0.5178,0.4847,0.38
isovalerate (i5:0),GL405,CL2355,0.2437,0.3409,1.85
isovalerylglycine,GL405,CL2355,0.0037,0.0598,3.7
isovalerylcarnitine (C5),GL405,CL2355,0.0915,0.2055,1.87
beta-hydroxyisovalerate,GL405,CL2355,0.7579,0.5664,1.14
beta-hydroxyisovaleroylcarnitine,GL405,CL2355,0.0110,0.0816,2.37
beta-hydroxyisovalerylglycine,GL405,CL2355,0.2782,0.3617,1.62
3-methylglutaconate,GL405,CL2355,0.1670,0.2838,1.84
isoleucine,GL405,CL2355,0.0072,0.0700,3.32
N-acetylisoleucine,GL405,CL2355,0.2153,0.3261,1.54
3-methyl-2-oxovalerate,GL405,CL2355,0.0016,0.0398,5.12
2-hydroxy-3-methylvalerate,GL405,CL2355,0.8889,0.6058,1.18
2-methylbutyrylcarnitine (C5),GL405,CL2355,0.0051,0.0617,3.55
tiglylcarnitine (C5:1-DC),GL405,CL2355,0.0129,0.0860,2.61
ethylmalonate,GL405,CL2355,0.2474,0.3409,1.65
methylsuccinate,GL405,CL2355,0.4320,0.4439,0.55
valine,GL405,CL2355,0.0019,0.0411,4.26
N-acetylvaline,GL405,CL2355,0.1995,0.3173,2.2
3-methyl-2-oxobutyrate,GL405,CL2355,0.0052,0.0617,4.24
alpha-hydroxyisovalerate,GL405,CL2355,0.2736,0.3596,1.78
isobutyrylcarnitine (C4),GL405,CL2355,0.0594,0.1705,1.93
3-hydroxyisobutyrate,GL405,CL2355,0.0057,0.0617,4.17
methionine,GL405,CL2355,0.0153,0.0868,2.85
N-acetylmethionine,GL405,CL2355,0.2659,0.3558,1.45
N-formylmethionine,GL405,CL2355,0.5644,0.4959,1.48
methionine sulfone,GL405,CL2355,0.2656,0.3558,2.07
methionine sulfoxide,GL405,CL2355,0.3775,0.4238,0.62
N-acetylmethionine sulfoxide,GL405,CL2355,0.2606,0.3521,0.56
S-adenosylmethionine (SAM),GL405,CL2355,0.5334,0.4881,0.38
S-adenosylhomocysteine (SAH),GL405,CL2355,0.9528,0.6305,0.37
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",GL405,CL2355,0.1685,0.2838,0.57
2-hydroxy-4-(methylthio)butanoic acid,GL405,CL2355,0.1697,0.2838,2.84
cystathionine,GL405,CL2355,0.8828,0.6047,1.17
cysteine,GL405,CL2355,0.0151,0.0868,3.13
N-acetylcysteine,GL405,CL2355,0.2258,0.3311,1.46
S-methylcysteine,GL405,CL2355,0.1334,0.2538,0.21
S-methylcysteine sulfoxide,GL405,CL2355,0.0681,0.1795,0.07
cysteine s-sulfate,GL405,CL2355,0.2122,0.3247,0.2
cystine,GL405,CL2355,0.3012,0.3755,0.12
lanthionine,GL405,CL2355,0.0377,0.1376,1.97
hypotaurine,GL405,CL2355,0.0502,0.1599,3.27
taurine,GL405,CL2355,0.8708,0.6000,0.91
N-acetyltaurine,GL405,CL2355,0.0098,0.0780,0.18
3-sulfo-alanine,GL405,CL2355,0.9616,0.6320,2.27
cyano-alanine,GL405,CL2355,0.0088,0.0771,8.44
arginine,GL405,CL2355,0.2353,0.3379,1.43
argininosuccinate,GL405,CL2355,0.0191,0.0968,0.22
urea,GL405,CL2355,0.4447,0.4498,1.72
ornithine,GL405,CL2355,0.0363,0.1367,3.9
3-amino-2-piperidone,GL405,CL2355,0.4268,0.4413,1.35
2-oxoarginine*,GL405,CL2355,0.2715,0.3593,1.23
citrulline,GL405,CL2355,0.5186,0.4847,0.53
homoarginine,GL405,CL2355,0.4077,0.4372,2.2
homocitrulline,GL405,CL2355,0.8650,0.5976,0.71
proline,GL405,CL2355,0.0774,0.1933,1.56
dimethylarginine (SDMA + ADMA),GL405,CL2355,0.1621,0.2801,0.68
N-acetylarginine,GL405,CL2355,0.8165,0.5883,0.92
N-delta-acetylornithine,GL405,CL2355,0.4146,0.4372,1.41
trans-4-hydroxyproline,GL405,CL2355,0.8935,0.6058,0.95
pro-hydroxy-pro,GL405,CL2355,0.7742,0.5723,0.74
N-methylproline,GL405,CL2355,0.8364,0.5888,1.02
N-monomethylarginine,GL405,CL2355,0.4825,0.4671,1.18
argininate*,GL405,CL2355,0.0091,0.0771,0.19
creatine,GL405,CL2355,0.0149,0.0868,0.22
agmatine,GL405,CL2355,0.0003,0.0253,13.6
acetylagmatine,GL405,CL2355,0.0102,0.0785,18.36
putrescine,GL405,CL2355,0.7124,0.5580,1.24
N-acetylputrescine,GL405,CL2355,0.3912,0.4293,2.63
N-carbamoylputrescine,GL405,CL2355,0.8332,0.5888,2.59
isoputreanine,GL405,CL2355,0.9011,0.6078,1.03
N-acetyl-isoputreanine,GL405,CL2355,0.7840,0.5770,0.71
spermidine,GL405,CL2355,0.0217,0.1054,2.98
N('1)-acetylspermidine,GL405,CL2355,0.0735,0.1882,2.48
diacetylspermidine*,GL405,CL2355,0.0629,0.1753,3.97
spermine,GL405,CL2355,0.0127,0.0860,9.77
N(1)-acetylspermine,GL405,CL2355,0.0672,0.1790,3.42
"N1,N12-diacetylspermine",GL405,CL2355,0.1634,0.2801,4.1
S-adenosylmethioninamine,GL405,CL2355,0.0000,0.0030,58.73
5-methylthioadenosine (MTA),GL405,CL2355,0.0330,0.1282,3.87
4-acetamidobutanoate,GL405,CL2355,0.6573,0.5309,1.18
4-guanidinobutanoate,GL405,CL2355,0.9471,0.6276,1.07
"glutathione, reduced (GSH)",GL405,CL2355,0.0191,0.0968,5.06
"glutathione, oxidized (GSSG)",GL405,CL2355,0.0330,0.1282,4.35
cysteine-glutathione disulfide,GL405,CL2355,0.7418,0.5626,0.8
cysteinylglycine,GL405,CL2355,0.0047,0.0617,3.22
cysteinylglycine disulfide*,GL405,CL2355,0.1749,0.2904,0.15
5-oxoproline,GL405,CL2355,0.0058,0.0617,4.08
2-hydroxybutyrate/2-hydroxyisobutyrate,GL405,CL2355,0.0005,0.0256,11.73
ophthalmate,GL405,CL2355,0.0313,0.1282,15.27
"S-(1,2-dicarboxyethyl)glutathione",GL405,CL2355,0.0001,0.0113,6.7
CoA-glutathione*,GL405,CL2355,0.3771,0.4238,1.91
gamma-glutamylalanine,GL405,CL2355,0.2207,0.3301,0.37
gamma-glutamylcysteine,GL405,CL2355,0.1173,0.2352,3.68
gamma-glutamylglutamate,GL405,CL2355,0.5230,0.4868,0.71
gamma-glutamylglutamine,GL405,CL2355,0.2435,0.3409,3.39
gamma-glutamylglycine,GL405,CL2355,0.4447,0.4498,0.59
gamma-glutamylhistidine,GL405,CL2355,0.4256,0.4411,0.5
gamma-glutamylisoleucine*,GL405,CL2355,0.9984,0.6324,0.33
gamma-glutamylleucine,GL405,CL2355,0.4438,0.4498,0.98
gamma-glutamyl-alpha-lysine,GL405,CL2355,0.0580,0.1704,5.54
gamma-glutamylmethionine,GL405,CL2355,0.9232,0.6202,0.25
gamma-glutamylphenylalanine,GL405,CL2355,0.2854,0.3652,3.42
gamma-glutamylthreonine,GL405,CL2355,0.5928,0.5053,1.71
gamma-glutamyltyrosine,GL405,CL2355,0.0066,0.0654,3.78
gamma-glutamylvaline,GL405,CL2355,0.9287,0.6204,0.45
gamma-glutamylserine,GL405,CL2355,0.6396,0.5249,1.39
gamma-glutamylcitrulline*,GL405,CL2355,0.9255,0.6204,0.9
leucylhydroxyproline*,GL405,CL2355,0.2814,0.3632,0.61
alanylleucine,GL405,CL2355,0.1553,0.2738,2.44
cyclo(gly-pro),GL405,CL2355,0.0058,0.0617,0.47
glycylisoleucine,GL405,CL2355,0.0188,0.0968,5.75
glycylleucine,GL405,CL2355,0.1057,0.2212,2.54
glycylvaline,GL405,CL2355,0.0237,0.1105,4.47
histidylalanine,GL405,CL2355,0.0168,0.0919,4.21
isoleucylglycine,GL405,CL2355,0.0014,0.0398,7.35
leucylalanine,GL405,CL2355,0.4673,0.4588,1.24
leucylglycine,GL405,CL2355,0.0859,0.1975,2.02
lysylleucine,GL405,CL2355,0.0047,0.0617,17.3
phenylalanylalanine,GL405,CL2355,0.0200,0.0988,3.66
phenylalanylglycine,GL405,CL2355,0.0512,0.1599,2.82
phenylalanylhydroxyproline*,GL405,CL2355,0.3212,0.3895,1.27
prolylglycine,GL405,CL2355,0.0591,0.1705,2.57
threonylphenylalanine,GL405,CL2355,0.0300,0.1282,3.34
tyrosylglycine,GL405,CL2355,0.0365,0.1367,3.57
valylglutamine,GL405,CL2355,0.0118,0.0819,4.88
valylglycine,GL405,CL2355,0.0004,0.0253,6.61
valylleucine,GL405,CL2355,0.0621,0.1751,4.48
leucylglutamine*,GL405,CL2355,0.1057,0.2212,2.57
alanyl-glutamyl-meso-diaminopimelate,GL405,CL2355,0.0433,0.1537,0.06
phenylacetylcarnitine,GL405,CL2355,0.1629,0.2801,0.24
phenylacetylglutamine,GL405,CL2355,0.6371,0.5246,1.28
"N,N-dimethyl-pro-pro",GL405,CL2355,0.0036,0.0598,0.6
"1,5-anhydroglucitol (1,5-AG)",GL405,CL2355,0.0849,0.1975,0.59
glucose,GL405,CL2355,0.4411,0.4495,1.81
glucose 6-phosphate,GL405,CL2355,0.0915,0.2055,3.78
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",GL405,CL2355,0.0850,0.1975,3.42
dihydroxyacetone phosphate (DHAP),GL405,CL2355,0.0096,0.0780,3.59
2-phosphoglycerate,GL405,CL2355,0.4483,0.4499,2.6
3-phosphoglycerate,GL405,CL2355,0.3258,0.3921,2.17
phosphoenolpyruvate (PEP),GL405,CL2355,0.2103,0.3247,3.07
pyruvate,GL405,CL2355,0.7391,0.5626,0.61
lactate,GL405,CL2355,0.3278,0.3935,1.27
glycerate,GL405,CL2355,0.8087,0.5863,1.02
6-phosphogluconate,GL405,CL2355,0.0016,0.0398,5.74
ribose 1-phosphate,GL405,CL2355,0.6061,0.5139,1.4
sedoheptulose-7-phosphate,GL405,CL2355,0.3128,0.3851,1.43
ribose,GL405,CL2355,0.7100,0.5580,0.47
ribitol,GL405,CL2355,0.7739,0.5723,0.81
ribonate,GL405,CL2355,0.6648,0.5338,0.75
arabitol/xylitol,GL405,CL2355,0.4215,0.4396,1.22
arabonate/xylonate,GL405,CL2355,0.0790,0.1954,0.22
sedoheptulose,GL405,CL2355,0.9711,0.6322,0.8
lyxonate,GL405,CL2355,0.7387,0.5626,1.26
maltotetraose,GL405,CL2355,0.9870,0.6324,0.81
maltotriose,GL405,CL2355,0.0230,0.1094,3.43
maltose,GL405,CL2355,0.4612,0.4547,1.38
lactobionate,GL405,CL2355,0.3803,0.4250,0.28
trehalose,GL405,CL2355,0.3241,0.3910,3.71
trehalose 6-phosphate,GL405,CL2355,0.1185,0.2355,6.2
mannitol/sorbitol,GL405,CL2355,0.3999,0.4340,1.22
mannose,GL405,CL2355,0.0015,0.0398,3.32
galactitol (dulcitol),GL405,CL2355,0.5831,0.5023,1.28
UDP-glucose,GL405,CL2355,0.6145,0.5148,1.77
UDP-galactose,GL405,CL2355,0.1212,0.2379,17.01
UDP-glucuronate,GL405,CL2355,0.7727,0.5723,0.72
UDP-N-acetylglucosamine/galactosamine,GL405,CL2355,0.0312,0.1282,4.55
deoxythymidine diphosphate-rhamnose,GL405,CL2355,0.1463,0.2668,0.36
glucosamine-6-phosphate,GL405,CL2355,0.0856,0.1975,4.04
glucuronate,GL405,CL2355,0.1725,0.2875,1.7
diacetylchitobiose,GL405,CL2355,0.2061,0.3207,2.4
N-acetylglucosamine 6-phosphate,GL405,CL2355,0.3982,0.4339,1.7
N-acetyl-glucosamine 1-phosphate,GL405,CL2355,0.1976,0.3161,0.28
N-acetylmuramate,GL405,CL2355,0.0354,0.1351,0.05
N-acetylglucosaminylasparagine,GL405,CL2355,0.1154,0.2342,1.6
erythronate*,GL405,CL2355,0.6448,0.5274,0.83
N-acetylglucosamine/N-acetylgalactosamine,GL405,CL2355,0.1496,0.2687,1.51
N6-carboxymethyllysine,GL405,CL2355,0.2204,0.3301,0.63
citrate,GL405,CL2355,0.1758,0.2909,0.48
aconitate [cis or trans],GL405,CL2355,0.2754,0.3607,0.41
isocitrate,GL405,CL2355,0.6115,0.5143,0.76
alpha-ketoglutarate,GL405,CL2355,0.3482,0.4031,1.19
succinylcarnitine (C4-DC),GL405,CL2355,0.6332,0.5228,0.81
succinate,GL405,CL2355,0.9699,0.6322,1.17
fumarate,GL405,CL2355,0.8389,0.5889,0.93
malate,GL405,CL2355,0.2796,0.3627,1.7
2-methylcitrate/homocitrate,GL405,CL2355,0.1981,0.3161,0.51
phosphate,GL405,CL2355,0.2004,0.3176,1.82
acetyl CoA,GL405,CL2355,0.0080,0.0741,0.19
butyrate/isobutyrate (4:0),GL405,CL2355,0.6507,0.5295,1.09
caprate (10:0),GL405,CL2355,0.8176,0.5883,1.13
cis-4-decenoate (10:1n6)*,GL405,CL2355,0.2063,0.3207,0.42
10-undecenoate (11:1n1),GL405,CL2355,0.8242,0.5888,1.1
laurate (12:0),GL405,CL2355,0.6311,0.5224,1.21
5-dodecenoate (12:1n7),GL405,CL2355,0.2434,0.3409,0.5
myristate (14:0),GL405,CL2355,0.5249,0.4868,1.23
stearate (18:0),GL405,CL2355,0.3845,0.4261,1.47
nonadecanoate (19:0),GL405,CL2355,0.7186,0.5585,1.29
arachidate (20:0),GL405,CL2355,0.4169,0.4385,1.63
behenate (22:0)*,GL405,CL2355,0.2430,0.3409,4.53
myristoleate (14:1n5),GL405,CL2355,0.2396,0.3408,0.51
palmitoleate (16:1n7),GL405,CL2355,0.8083,0.5863,1.03
oleate/vaccenate (18:1),GL405,CL2355,0.5628,0.4959,1.29
